Draw,Date,Winning Number 1,2,3,4,5,6,7,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50
14/08/2025,2025-08-14,2,8,11,15,19,24,41,15,5,2,4,3,2,3,1,0,1
07/08/2025,2025-08-07,3,12,15,16,33,36,42,,4,3,3,4,1,3,0,2,1
31/07/2025,2025-07-31,5,8,10,14,29,34,40,29,4,3,2,5,3,1,1,2,0
24/07/2025,2025-07-24,18,22,28,29,31,33,43,22,2,5,4,3,0,1,3,2,1
17/07/2025,2025-07-17,4,8,11,19,20,22,23,20,6,1,3,4,2,3,2,0,0
10/07/2025,2025-07-10,9,12,17,20,28,32,37,20,4,3,3,4,1,3,1,2,0
03/07/2025,2025-07-03,5,6,11,18,20,21,29,18,6,1,4,3,2,3,2,0,0
26/06/2025,2025-06-26,7,18,27,30,36,37,40,"7,30",2,5,3,4,1,1,2,3,0
19/06/2025,2025-06-19,6,7,16,17,22,24,30,24,5,2,2,5,2,2,3,0,0
12/06/2025,2025-06-12,13,14,19,24,26,35,39,26,3,4,4,3,0,3,2,2,0
05/06/2025,2025-06-05,2,6,17,22,26,33,42,"26,42",4,3,2,5,2,1,2,1,1
29/05/2025,2025-05-29,8,11,23,26,29,38,42,,2,5,3,4,1,1,3,1,1
22/05/2025,2025-05-22,6,12,14,18,35,37,43,"12,14,35,37",4,3,3,4,1,3,0,2,1
15/05/2025,2025-05-15,2,12,14,30,35,37,39,12,3,4,3,4,1,2,1,3,0
08/05/2025,2025-05-08,5,9,12,22,24,26,29,5,4,3,3,4,2,1,4,0,0
01/05/2025,2025-05-01,1,5,13,16,32,34,38,"5,32",4,3,3,4,2,2,0,3,0
24/04/2025,2025-04-24,2,5,10,11,20,32,43,,5,2,3,4,3,2,0,1,1
17/04/2025,2025-04-17,1,13,31,33,38,39,40,40,2,5,5,2,1,1,0,5,0
10/04/2025,2025-04-10,2,4,9,16,35,40,42,,4,3,2,5,3,1,0,2,1
03/04/2025,2025-04-03,1,12,20,22,24,41,44,"1,41",4,3,2,5,1,2,2,0,2
27/03/2025,2025-03-27,1,10,15,18,34,41,43,,4,3,4,3,2,2,0,1,2
20/03/2025,2025-03-20,8,19,27,30,31,33,37,,2,5,5,2,1,1,2,3,0
13/03/2025,2025-03-13,3,5,13,14,32,34,43,5,4,3,4,3,2,2,0,2,1
06/03/2025,2025-03-06,4,5,10,23,29,30,36,,3,4,3,4,3,0,3,1,0
27/02/2025,2025-02-27,3,28,32,33,37,41,42,,1,6,4,3,1,0,1,3,2
20/02/2025,2025-02-20,1,16,27,34,36,39,40,"1,16",2,5,3,4,1,1,1,4,0
13/02/2025,2025-02-13,1,11,16,23,31,38,42,,3,4,4,3,1,2,1,2,1
06/02/2025,2025-02-06,12,18,20,22,28,33,36,,4,3,1,6,0,3,2,2,0
30/01/2025,2025-01-30,4,10,13,15,17,27,31,"4,15",5,2,5,2,2,3,1,1,0
23/01/2025,2025-01-23,4,15,21,24,35,40,44,"15,21,44",3,4,3,4,1,1,2,2,1
16/01/2025,2025-01-16,3,6,15,21,25,38,44,,4,3,4,3,2,1,2,1,1
09/01/2025,2025-01-09,9,16,23,26,36,40,43,,2,5,3,4,1,1,2,2,1
02/01/2025,2025-01-02,4,11,12,15,28,35,42,4,4,3,3,4,1,3,1,1,1
26/12/2024,2024-12-26,2,4,9,17,18,36,39,9,5,2,3,4,3,2,0,2,0
19/12/2024,2024-12-19,9,12,20,25,28,42,43,"20,43",3,4,3,4,1,2,2,0,2
12/12/2024,2024-12-12,7,20,24,26,27,39,43,"20,27,39",2,5,4,3,1,1,3,1,1
05/12/2024,2024-12-05,12,15,20,27,33,39,41,,3,4,5,2,0,3,1,2,1
28/11/2024,2024-11-28,1,11,18,28,34,35,36,"35,36",3,4,3,4,1,2,1,3,0
21/11/2024,2024-11-21,5,8,9,14,35,36,44,"35,44",4,3,3,4,3,1,0,2,1
14/11/2024,2024-11-14,1,7,30,33,34,35,44,"7,44",2,5,4,3,2,0,1,3,1
07/11/2024,2024-11-07,2,4,7,9,18,39,44,18,5,2,3,4,4,1,0,1,1
31/10/2024,2024-10-31,5,18,19,23,29,36,38,19,3,4,4,3,1,2,2,2,0
24/10/2024,2024-10-24,10,14,19,24,26,34,37,"26,37",3,4,2,5,1,2,2,2,0
17/10/2024,2024-10-17,4,12,26,31,32,36,37,32,2,5,2,5,1,1,1,4,0
10/10/2024,2024-10-10,10,14,16,21,22,32,35,10,5,2,2,5,1,2,2,2,0
03/10/2024,2024-10-03,4,6,10,12,13,36,41,36,5,2,2,5,3,2,0,1,1
26/09/2024,2024-09-26,14,19,22,25,28,36,39,,3,4,3,4,0,2,3,2,0
19/09/2024,2024-09-19,2,4,8,17,31,33,41,"31,33,41",4,3,4,3,3,1,0,2,1
12/09/2024,2024-09-12,7,19,31,33,35,41,42,35,2,5,6,1,1,1,0,3,2
05/09/2024,2024-09-05,1,8,9,14,21,34,35,"1,21",5,2,4,3,3,1,1,2,0
29/08/2024,2024-08-29,1,7,12,13,20,21,25,,6,1,5,2,2,3,2,0,0
22/08/2024,2024-08-22,2,11,15,34,39,40,43,43,3,4,4,3,1,2,0,3,1
15/08/2024,2024-08-15,4,9,23,27,41,42,43,"9,41",2,5,5,2,2,0,2,0,3
08/08/2024,2024-08-08,9,16,26,34,36,39,41,,2,5,3,4,1,1,1,3,1
01/08/2024,2024-08-01,18,19,21,25,27,31,35,,3,4,6,1,0,2,3,2,0
