Draw,Date,Winning Number 1,2,3,4,5,Lucky Star 1,2,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize,Division 9 Winners,Division 9 Prize,Division 10 Winners,Division 10 Prize,Division 11 Winners,Division 11 Prize,Division 12 Winners,Division 12 Prize,Division 13 Winners,Division 13 Prize
1868,2025-08-15,13,30,35,36,40,2,6,,1,4,2,3,0,1,1,3,0,0,0.00,2,592222.90,13,21294.10,63,1368.60,1023,155.20,2481,67.60,2339,50.40,40120,14.70,48421,13.50,109005,11.20,234111,6.30,759032,6.10,1688844,4.40
1867,2025-08-12,18,28,42,46,48,3,9,,1,4,0,5,0,1,1,0,3,0,0.00,1,970058.30,6,37786.40,58,1217.50,839,155.00,2359,58.20,1914,50.40,36957,13.00,42492,12.60,92517,10.80,215719,5.60,640893,5.90,1364969,4.50
1866,2025-08-08,2,12,19,34,44,6,10,,3,2,1,4,1,2,0,1,1,0,0.00,6,183180.90,21,12232.10,72,1111.20,1464,100.60,2636,59.10,4276,25.60,36400,15.00,54367,11.20,136121,8.30,185239,7.40,761556,5.60,1883537,3.70
1865,2025-08-05,1,3,5,42,47,5,10,,3,2,4,1,3,0,0,0,2,0,0.00,3,281225.80,5,39436.20,28,2193.40,736,153.70,1848,64.70,1683,49.90,27758,15.10,38712,12.10,89293,9.70,154890,6.80,579368,5.70,1303797,4.10
1864,2025-08-01,4,16,25,29,30,2,10,,3,2,2,3,1,1,3,0,0,0,0.00,3,331615.70,14,16608.00,68,1065.00,1313,101.60,2461,57.30,3201,30.90,34085,14.50,52194,10.50,126467,8.10,172275,7.20,704224,5.50,1683554,3.70
1863,2025-07-29,5,6,42,44,46,4,8,6,2,3,1,4,2,0,0,0,3,0,0.00,4,193669.00,5,36210.90,25,2255.70,582,178.40,1651,66.50,1380,55.90,28236,13.60,30308,14.20,66114,12.10,174670,5.50,500434,6.10,1121436,4.30
1862,2025-07-25,6,7,23,32,36,11,12,,3,2,2,3,2,0,1,2,0,0,0.00,5,180631.10,9,23453.50,27,2435.00,854,141.80,1611,79.40,2261,39.70,23762,18.90,39057,12.80,109645,8.50,126862,8.90,568250,6.20,1597566,3.50
1861,2025-07-22,8,15,26,33,41,9,10,,2,3,3,2,1,1,1,1,1,0,0.00,5,144005.00,13,12944.70,20,2620.70,955,101.10,1355,75.30,2090,34.30,19255,18.60,35872,11.10,82421,9.00,102270,8.80,500245,5.60,1172483,3.90
1860,2025-07-18,13,19,25,42,45,2,9,45,3,2,4,1,0,2,1,0,2,0,0.00,8,114872.30,8,26847.50,52,1286.50,1189,103.60,2628,49.50,2432,37.60,37716,12.10,49680,10.20,106931,8.80,190854,6.00,709562,5.10,1500884,3.80
1859,2025-07-15,24,38,41,45,49,1,6,"24,45,49",1,4,3,2,0,0,1,1,3,0,0.00,1,625081.30,10,14609.10,24,1896.00,503,166.60,1155,76.70,1242,50.10,17486,17.80,24263,14.30,58905,10.90,99931,7.80,362410,6.80,859234,4.60
1858,2025-07-11,8,23,24,45,49,2,10,8,3,2,3,2,1,0,2,0,2,0,0.00,1,762238.80,8,22268.40,32,1734.00,724,141.10,1520,71.00,1754,43.20,24375,15.50,33587,12.60,81649,9.60,130005,7.30,510338,5.80,1233108,3.90
1857,2025-07-08,1,8,9,18,50,1,5,,4,1,2,3,3,1,0,0,1,0,0.00,9,66695.40,6,23381.70,44,993.10,974,82.60,1898,44.80,1736,34.40,23391,12.70,37143,8.90,72418,8.50,112534,6.60,470066,5.00,985419,3.80
1856,2025-07-04,19,29,42,45,48,5,7,,1,4,3,2,0,1,1,0,3,0,0.00,1,723367.00,10,16906.20,39,1350.20,661,146.70,2016,50.80,1392,51.70,32284,11.10,32558,12.30,66828,11.10,184953,4.90,506291,5.60,1025052,4.40
1855,2025-07-01,1,17,28,32,34,7,8,,2,3,2,3,1,1,1,2,0,0,0.00,3,186076.90,8,16308.40,34,1195.20,602,124.30,1231,64.20,1122,49.50,18291,15.20,29582,10.40,55354,10.40,97882,7.10,433847,5.00,825734,4.20
1854,2025-06-27,19,27,36,45,49,7,10,,1,4,4,1,0,1,1,1,2,0,0.00,5,139732.90,6,27214.90,34,1495.90,790,118.50,1525,64.90,1643,42.30,21480,16.20,32660,11.80,72964,9.90,119182,7.30,467164,5.90,1027285,4.30
1853,2025-06-24,7,16,21,23,39,7,11,,4,1,4,1,1,1,2,1,0,0,0.00,4,129694.40,2,60623.40,31,1218.20,718,96.80,1708,43.00,1602,32.20,22541,11.40,33379,8.60,68902,7.70,102456,6.30,442550,4.60,942225,3.40
